SGD ID	Type	Qualifier	Feature Name	Standard Gene Name	Alias	Parent Feature Name	Secondary SGDID	Chromosome	Start_coordinate	Stop_coordinate	Strand	Genetic Position	Coordinate Version	Sequence Version	Description
S000002143	ORF	Dubious	YAL069W			chromosome 1		1	335	649	W		7/31/1996	7/31/1996	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000028594	ORF	Dubious	YAL068W-A			chromosome 1		1	538	792	W		7/29/2003	7/29/2003	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
S000002142	ORF	Verified	YAL068C	PAU8	seripauperin PAU8	chromosome 1		1	2169	1807	C		7/31/1996	7/31/1996	Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions
S000028593	ORF	Uncharacterized	YAL067W-A			chromosome 1		1	2480	2707	W		7/29/2003	7/29/2003	"Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
S000000062	ORF	Verified	YAL067C	SEO1	putative permease SEO1	chromosome 1	L000003363	1	9016	7235	C		2/3/2011	7/31/1996	Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide
S000000061	ORF	Dubious	YAL066W			chromosome 1		1	10091	10399	W		2/3/2011	7/31/1996	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000001817	ORF	Uncharacterized	YAL065C			chromosome 1		1	11951	11565	C		2/3/2011	7/31/1996	Putative protein of unknown function; shows sequence similarity to FLO1 and other flocculins
S000002141	ORF	Uncharacterized	YAL064W-B			chromosome 1		1	12046	12426	W		2/3/2011	7/17/1999	Fungal-specific protein of unknown function
S000002140	ORF	Uncharacterized	YAL064C-A	TDA8	YAL065C-A	chromosome 1		1	13743	13363	C		2/3/2011	7/31/1996	Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene
S000000060	ORF	Verified	YAL064W			chromosome 1		1	21566	21850	W		2/3/2011	1996-07-31|2011-02-03	"Protein of unknown function; may interact with ribosomes, based on co-purification experiments"
S000028813	ORF	Uncharacterized	YAL063C-A			chromosome 1		1	22685	22395	C		2/3/2011	7/29/2003	Putative protein of unknown function; identified by expression profiling and mass spectrometry
S000000059	ORF	Verified	YAL063C	FLO9	flocculin FLO9	chromosome 1	L000003331	1	27968	24000	C		2/3/2011	7/31/1996	Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation
S000000058	ORF	Verified	YAL062W	GDH3	glutamate dehydrogenase (NADP(+)) GDH3|FUN51	chromosome 1	L000000698	1	31567	32940	W		2/3/2011	7/31/1996	"NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication"
S000000057	ORF	Uncharacterized	YAL061W	BDH2	putative dehydrogenase BDH2	chromosome 1		1	33448	34701	W		2/3/2011	7/31/1996	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3
S000000056	ORF	Verified	YAL060W	BDH1	"(R,R)-butanediol dehydrogenase|BDH"	chromosome 1		1	35155	36303	W		2/3/2011	1996-07-31|2011-02-03	"NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source"
S000000055	ORF	Verified	YAL059W	ECM1		chromosome 1	L000003052	1	36509	37147	W		2/3/2011	1996-07-31|2011-02-03	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm
S000028734	ORF	Dubious	YAL059C-A			chromosome 1		1	36918	36496	C		2/3/2011	2003-07-29|2011-02-03	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W"
S000000054	ORF	Verified	YAL058W	CNE1	calnexin|FUN48	chromosome 1	L000000373	1	37464	38972	W		2/3/2011	7/31/1996	"Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast"
S000002139	ORF	Dubious	YAL056C-A		YAL058C-A	chromosome 1		1	39046	38696	C		2/3/2011	7/31/1996	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000000052	ORF	Verified	YAL056W	GPB2	KRH1	chromosome 1		1	39259	41901	W		2/3/2011	2004-01-20|1996-07-31|2011-02-03	"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication"
S000000051	ORF	Verified	YAL055W	PEX22	ubiquitin-protein transferase activating protein PEX22|YAF5	chromosome 1		1	42177	42719	W		2/3/2011	7/31/1996	Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation
S000000050	ORF	Verified	YAL054C	ACS1	acetate--CoA ligase 1|FUN44	chromosome 1	L000000024	1	45022	42881	C	-63.11	2/3/2011	7/31/1996	"Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions"
S000000049	ORF	Verified	YAL053W	FLC2	flavin adenine dinucleotide transporter FLC2|HUF2	chromosome 1		1	45899	48250	W		2/3/2011	1996-07-31|2011-02-03	"Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication"
S000000048	ORF	Verified	YAL051W	OAF1	oleate-activated transcription factor OAF1|YAF1	chromosome 1	L000004197	1	48564	51707	W		2/3/2011	2004-07-20|1996-07-31|2011-02-03	"Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication"
S000000047	ORF	Verified	YAL049C	AIM2	protein AIM2	chromosome 1		1	52595	51855	C		2/3/2011	7/31/1996	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor
S000028733	ORF	Dubious	YAL047W-A			chromosome 1		1	54584	54913	W		2/3/2011	7/29/2003	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GEM1/YAL048C"
S000000046	ORF	Verified	YAL048C	GEM1	ERMES complex Ca(2+)-binding regulatory GTPase GEM1|GON1	chromosome 1		1	54789	52801	C		2/3/2011	7/31/1996	"Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases"
S000000045	ORF	Verified	YAL047C	SPC72	gamma-tubulin complex subunit SPC72|LDB4	chromosome 1	L000003455	1	56857	54989	C		2/3/2011	1996-07-31|2011-02-03	"Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase"
S000000044	ORF	Verified	YAL046C	BOL3	AIM1	chromosome 1		1	57385	57029	C		2/3/2011	7/31/1996	"Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)"
